Date,Benzene,CS2,Ozone,SO2,Toluene,Xylene,Wind Direction,Wind Speed,Wind Origin
8/1/15 0:00,2.5,2.5,16.35,2.5,2.5,2.5,206,8,SSW
8/1/15 0:05,2.5,2.5,19,2.5,2.5,2.5,206,8,SSW
8/1/15 0:10,2.5,2.5,20.69,2.5,2.5,2.5,214,8,SSW
8/1/15 0:15,2.5,2.5,20.13,2.5,2.5,2.5,219,9,SW
8/1/15 0:20,2.5,2.5,20.22,2.5,2.5,2.5,219,11,SW
8/1/15 0:25,2.5,2.5,18.28,2.5,2.5,2.5,225,8,SW
8/1/15 0:30,2.5,2.5,20.25,2.5,2.5,2.5,212,7,SSW
8/1/15 0:35,2.5,2.5,20.74,2.5,2.5,2.5,223,9,SW
8/1/15 0:40,2.5,2.5,20.12,2.5,2.5,2.5,224,9,SW
8/1/15 0:45,2.5,2.5,18.61,2.5,2.5,2.5,216,10,SW
8/1/15 0:50,2.5,2.5,19.59,2.5,2.5,2.5,220,9,SW
8/1/15 0:55,2.5,2.5,20.22,2.5,2.5,2.5,216,9,SW
8/1/15 1:00,2.5,2.5,21.16,2.5,2.5,2.5,223,7,SW
8/1/15 1:05,2.5,2.5,19.28,2.5,2.5,2.5,210,7,SSW
8/1/15 1:10,2.5,2.5,20.74,2.5,2.5,2.5,206,6,SSW
8/1/15 1:15,2.5,2.5,19.28,2.5,2.5,2.5,195,6,SSW
8/1/15 1:20,2.5,2.5,18.65,2.5,2.5,2.5,207,7,SSW
8/1/15 1:25,2.5,2.5,18.11,2.5,2.5,2.5,219,8,SW
8/1/15 1:30,2.5,2.5,18.44,2.5,2.5,2.5,207,7,SSW
8/1/15 1:35,2.5,2.5,19.88,2.5,2.5,2.5,207,7,SSW
8/1/15 1:40,2.5,2.5,19.42,2.5,2.5,2.5,208,8,SSW
8/1/15 1:45,2.5,2.5,19.68,2.5,2.5,2.5,213,7,SSW
8/1/15 1:50,2.5,2.5,18.89,2.5,2.5,2.5,199,8,SSW
8/1/15 1:55,2.5,2.5,17.46,2.5,2.5,2.5,198,6,SSW
8/1/15 2:00,2.5,2.5,19.47,2.5,2.5,2.5,198,7,SSW
8/1/15 2:05,2.5,2.5,18.31,2.5,2.5,2.5,222,8,SW
8/1/15 2:10,2.5,2.5,20.38,2.5,2.5,2.5,226,9,SW
8/1/15 2:15,2.5,2.5,19.05,2.5,2.5,2.5,212,8,SSW
8/1/15 2:20,2.5,2.5,18.86,2.5,2.5,2.5,207,8,SSW
8/1/15 2:25,2.5,2.5,19.07,2.5,2.5,2.5,212,8,SSW
8/1/15 2:30,2.5,2.5,18.53,2.5,2.5,2.5,204,9,SSW
8/1/15 2:35,2.5,2.5,19.83,2.5,2.5,2.5,200,6,SSW
8/1/15 2:40,2.5,2.5,20.26,2.5,2.5,2.5,202,8,SSW
8/1/15 2:45,2.5,2.5,19.88,2.5,2.5,2.5,206,8,SSW
8/1/15 2:50,2.5,2.5,20.44,2.5,2.5,2.5,203,8,SSW
8/1/15 2:55,2.5,2.5,19.36,2.5,2.5,2.5,208,8,SSW
8/1/15 3:00,2.5,2.5,17.88,2.5,2.5,2.5,204,9,SSW
8/1/15 3:05,2.5,2.5,18.93,2.5,2.5,2.5,209,9,SSW
8/1/15 3:10,2.5,2.5,19.51,2.5,2.5,2.5,211,8,SSW
8/1/15 3:15,2.5,2.5,20.2,2.5,2.5,2.5,204,8,SSW
8/1/15 3:20,2.5,2.5,19.64,2.5,2.5,2.5,199,8,SSW
8/1/15 3:25,2.5,2.5,19.76,2.5,2.5,2.5,192,7,SSW
8/1/15 3:30,2.5,2.5,20.36,2.5,2.5,2.5,186,8,S
8/1/15 3:35,2.5,2.5,20.37,2.5,2.5,2.5,182,7,S
8/1/15 3:40,2.5,2.5,20.38,2.5,2.5,2.5,178,6,S
8/1/15 3:45,2.5,2.5,20.45,2.5,2.5,2.5,186,7,S
8/1/15 3:50,2.5,2.5,19.89,2.5,2.5,2.5,198,8,SSW
8/1/15 3:55,2.5,2.5,20.43,2.5,2.5,2.5,196,7,SSW
8/1/15 4:00,2.5,2.5,21.22,2.5,2.5,2.5,182,7,S
8/1/15 4:05,2.5,2.5,20.62,2.5,2.5,2.5,197,7,SSW
8/1/15 4:10,2.5,2.5,20.29,2.5,2.5,2.5,189,5,S
8/1/15 4:15,2.5,2.5,18.16,2.5,2.5,2.5,194,7,SSW
8/1/15 4:20,2.5,2.5,17.81,2.5,2.5,2.5,186,6,S
8/1/15 4:25,2.5,2.5,18.41,2.5,2.5,2.5,189,7,S
8/1/15 4:30,2.5,2.5,18.65,2.5,2.5,2.5,195,7,SSW
8/1/15 4:35,2.5,2.5,17.97,2.5,2.5,2.5,190,7,S
8/1/15 4:40,2.5,2.5,19.09,2.5,2.5,2.5,193,8,SSW
8/1/15 4:45,2.5,2.5,19.27,2.5,2.5,2.5,201,8,SSW
8/1/15 4:50,2.5,2.5,20.22,2.5,2.5,2.5,197,8,SSW
8/1/15 4:55,2.5,2.5,18.42,2.5,2.5,2.5,201,8,SSW
8/1/15 5:00,2.5,2.5,17.96,2.5,2.5,2.5,199,8,SSW
8/1/15 5:05,2.5,2.5,19.29,2.5,2.5,2.5,198,8,SSW
8/1/15 5:10,2.5,2.5,18.33,2.5,2.5,2.5,198,8,SSW
8/1/15 5:15,2.5,2.5,18.19,2.5,2.5,2.5,198,9,SSW
8/1/15 5:20,2.5,2.5,19.77,2.5,2.5,2.5,193,8,SSW
8/1/15 5:25,2.5,2.5,18.93,2.5,2.5,2.5,193,7,SSW
8/1/15 5:30,2.5,2.5,19.48,2.5,2.5,2.5,199,8,SSW
8/1/15 5:35,2.5,2.5,18.91,2.5,2.5,2.5,202,9,SSW
8/1/15 5:40,2.5,2.5,19.52,2.5,2.5,2.5,210,9,SSW
8/1/15 5:45,2.5,2.5,18.83,2.5,2.5,2.5,222,8,SW
8/1/15 5:50,2.5,2.5,19.49,2.5,2.5,2.5,219,9,SW
8/1/15 5:55,2.5,2.5,20.5,2.5,2.5,2.5,220,8,SW
8/1/15 6:00,2.5,2.5,21.47,2.5,2.5,2.5,228,7,SW
8/1/15 6:05,2.5,2.5,19.76,2.5,2.5,2.5,214,10,SSW
8/1/15 6:10,2.5,2.5,21.69,2.5,2.5,2.5,226,8,SW
8/1/15 6:15,2.5,2.5,20.34,2.5,2.5,2.5,217,9,SW
8/1/15 6:20,2.5,2.5,21.14,2.5,2.5,2.5,216,7,SW
8/1/15 6:25,2.5,2.5,19.54,2.5,2.5,2.5,217,8,SW
8/1/15 6:30,2.5,2.5,19.98,2.5,2.5,2.5,214,9,SSW
8/1/15 6:35,2.5,2.5,20.82,2.5,2.5,2.5,213,7,SSW
8/1/15 6:40,2.5,2.5,20.62,2.5,2.5,2.5,207,9,SSW
8/1/15 6:45,2.5,2.5,18.91,2.5,2.5,2.5,208,10,SSW
8/1/15 6:50,2.5,2.5,19.48,2.5,2.5,2.5,208,9,SSW
8/1/15 6:55,2.5,2.5,20.9,2.5,2.5,2.5,215,8,SW
8/1/15 7:00,2.5,2.5,19.59,2.5,2.5,2.5,200,7,SSW
8/1/15 7:05,2.5,2.5,18.46,2.5,2.5,2.5,203,8,SSW
8/1/15 7:10,2.5,2.5,17.49,2.5,2.5,2.5,203,10,SSW
8/1/15 7:15,2.5,2.5,19.57,2.5,2.5,2.5,203,9,SSW
8/1/15 7:20,2.5,2.5,18.8,2.5,2.5,2.5,219,8,SW
8/1/15 7:25,2.5,2.5,19.21,2.5,2.5,2.5,207,8,SSW
8/1/15 7:30,2.5,2.5,20.29,2.5,2.5,2.5,205,9,SSW
8/1/15 7:35,2.5,2.5,19.99,2.5,2.5,2.5,209,10,SSW
8/1/15 7:40,2.5,2.5,18.5,2.5,2.5,2.5,206,9,SSW
8/1/15 7:45,2.5,2.5,19.11,2.5,2.5,2.5,204,10,SSW
8/1/15 7:50,2.5,2.5,19.13,2.5,2.5,2.5,207,9,SSW
8/1/15 7:55,2.5,2.5,17.57,2.5,2.5,2.5,208,8,SSW
8/1/15 8:00,2.5,2.5,17.41,2.5,2.5,2.5,207,8,SSW
8/1/15 8:05,2.5,2.5,16.1,2.5,2.5,2.5,222,8,SW
8/1/15 8:10,2.5,2.5,16.17,2.5,2.5,2.5,215,8,SW
8/1/15 8:15,2.5,2.5,17.46,2.5,2.5,2.5,212,7,SSW
8/1/15 8:20,2.5,2.5,16.1,2.5,2.5,2.5,189,7,S
8/1/15 8:25,2.5,2.5,16.89,2.5,2.5,2.5,189,8,S
8/1/15 8:30,2.5,2.5,15.7,2.5,2.5,2.5,193,7,SSW
8/1/15 8:35,2.5,2.5,17.33,2.5,2.5,2.5,197,8,SSW
8/1/15 8:40,2.5,2.5,15.59,2.5,2.5,2.5,198,7,SSW
8/1/15 8:45,2.5,2.5,14.09,2.5,2.5,2.5,192,7,SSW
8/1/15 8:50,2.5,2.5,14.43,2.5,2.5,2.5,198,8,SSW
8/1/15 8:55,2.5,2.5,13.96,2.5,2.5,2.5,216,8,SW
8/1/15 9:00,2.5,2.5,13.79,2.5,2.5,2.5,206,8,SSW
8/1/15 9:05,2.5,2.5,13.18,2.5,2.5,2.5,201,7,SSW
8/1/15 9:10,2.5,2.5,12.61,2.5,2.5,2.5,198,8,SSW
8/1/15 9:15,2.5,2.5,12.78,2.5,2.5,2.5,195,8,SSW
8/1/15 9:20,2.5,2.5,12.12,2.5,2.5,2.5,193,8,SSW
8/1/15 9:25,2.5,2.5,10.37,2.5,2.5,2.5,210,8,SSW
8/1/15 9:30,2.5,2.5,11.4,2.5,2.5,2.5,220,6,SW
8/1/15 9:35,2.5,2.5,11.3,2.5,2.5,2.5,227,5,SW
8/1/15 9:40,2.5,2.5,13.04,2.5,2.5,2.5,227,4,SW
8/1/15 9:45,2.5,2.5,12.81,2.5,2.5,2.5,194,5,SSW
8/1/15 9:50,2.5,2.5,12.63,2.5,2.5,2.5,224,5,SW
8/1/15 9:55,2.5,2.5,13.45,2.5,2.5,2.5,226,4,SW
8/1/15 10:00,2.5,2.5,15.45,2.5,2.5,2.5,212,3,SSW
8/1/15 10:05,2.5,2.5,11.44,2.5,2.5,2.5,219,5,SW
8/1/15 10:10,2.5,2.5,13.58,2.5,2.5,2.5,187,4,S
8/1/15 10:15,2.5,2.5,15.03,2.5,2.5,2.5,178,5,S
8/1/15 10:20,2.5,2.5,16.48,2.5,2.5,2.5,169,5,SSE
8/1/15 10:25,2.5,2.5,16.43,2.5,2.5,2.5,164,6,SSE
8/1/15 10:30,2.5,2.5,15.55,2.5,2.5,2.5,206,4,SSW
8/1/15 10:35,2.5,2.5,15.67,2.5,2.5,2.5,203,5,SSW
8/1/15 10:40,2.5,2.5,17.09,2.5,2.5,2.5,180,5,S
8/1/15 10:45,2.5,2.5,17.5,2.5,2.5,2.5,167,5,SSE
8/1/15 10:50,2.5,2.5,21.38,2.5,2.5,2.5,183,6,S
8/1/15 10:55,2.5,2.5,24.36,2.5,2.5,2.5,175,7,S
8/1/15 11:00,2.5,2.5,23.35,2.5,2.5,2.5,184,6,S
8/1/15 11:05,2.5,2.5,21.04,2.5,2.5,2.5,168,8,SSE
8/1/15 11:10,2.5,2.5,19.49,2.5,2.5,2.5,168,8,SSE
8/1/15 11:15,2.5,2.5,15.75,2.5,2.5,2.5,150,9,SSE
8/1/15 11:20,2.5,2.5,15.72,2.5,2.5,2.5,149,9,SSE
8/1/15 11:25,2.5,2.5,15.51,2.5,2.5,2.5,166,8,SSE
8/1/15 11:30,2.5,2.5,14.93,2.5,2.5,2.5,184,8,S
8/1/15 11:35,2.5,2.5,13.61,2.5,2.5,2.5,180,9,S
8/1/15 11:40,2.5,2.5,12.87,2.5,2.5,2.5,181,8,S
8/1/15 11:45,2.5,2.5,13.18,2.5,2.5,2.5,156,10,SSE
8/1/15 11:50,2.5,2.5,14.42,2.5,2.5,2.5,152,11,SSE
8/1/15 11:55,2.5,2.5,15.44,2.5,2.5,2.5,151,11,SSE
8/1/15 12:00,2.5,2.5,14.93,2.5,2.5,2.5,153,10,SSE
8/1/15 12:05,2.5,2.5,17.35,2.5,2.5,2.5,154,10,SSE
8/1/15 12:10,2.5,2.5,15.96,2.5,2.5,2.5,153,10,SSE
8/1/15 12:15,2.5,2.5,17.65,2.5,2.5,2.5,155,10,SSE
8/1/15 12:20,2.5,2.5,19.68,2.5,2.5,2.5,157,11,SSE
8/1/15 12:25,2.5,2.5,23.42,2.5,2.5,2.5,156,9,SSE
8/1/15 12:30,2.5,2.5,23.73,2.5,2.5,2.5,155,11,SSE
8/1/15 12:35,2.5,2.5,22.3,2.5,2.5,2.5,157,10,SSE
8/1/15 12:40,2.5,2.5,22.96,2.5,2.5,2.5,155,10,SSE
8/1/15 12:45,2.5,2.5,23.86,2.5,2.5,2.5,150,12,SSE
8/1/15 12:50,2.5,2.5,21.49,2.5,2.5,2.5,156,10,SSE
8/1/15 12:55,2.5,2.5,19.83,2.5,2.5,2.5,161,9,SSE
8/1/15 13:00,2.5,2.5,19.64,2.5,2.5,2.5,152,9,SSE
8/1/15 13:05,2.5,2.5,18.85,2.5,2.5,2.5,150,10,SSE
8/1/15 13:10,2.5,2.5,17.51,2.5,2.5,2.5,152,11,SSE
8/1/15 13:15,2.5,2.5,15.59,2.5,2.5,2.5,150,8,SSE
8/1/15 13:20,2.5,2.5,15.48,2.5,2.5,2.5,156,10,SSE
8/1/15 13:25,2.5,2.5,15.32,2.5,2.5,2.5,151,11,SSE
8/1/15 13:30,2.5,2.5,15.23,2.5,2.5,2.5,148,10,SSE
8/1/15 13:35,2.5,2.5,17.88,2.5,2.5,2.5,153,10,SSE
8/1/15 13:40,2.5,2.5,17.07,2.5,2.5,2.5,157,11,SSE
8/1/15 13:45,2.5,2.5,17.45,2.5,2.5,2.5,160,9,SSE
8/1/15 13:50,2.5,2.5,17.42,2.5,2.5,2.5,152,9,SSE
8/1/15 13:55,2.5,2.5,19,2.5,2.5,2.5,153,8,SSE
8/1/15 14:00,2.5,2.5,18.25,2.5,2.5,2.5,187,9,S
8/1/15 14:05,2.5,2.5,18.25,2.5,2.5,2.5,176,9,S
8/1/15 14:10,2.5,2.5,19.51,2.5,2.5,2.5,183,11,S
8/1/15 14:15,2.5,2.5,23.15,2.5,2.5,2.5,177,10,S
8/1/15 14:20,2.5,2.5,23.63,2.5,2.5,2.5,178,11,S
8/1/15 14:25,2.5,2.5,22.94,2.5,2.5,2.5,178,11,S
8/1/15 14:30,2.5,2.5,22.92,2.5,2.5,2.5,176,11,S
8/1/15 14:35,2.5,2.5,21.4,2.5,2.5,2.5,181,11,S
8/1/15 14:40,2.5,2.5,20.61,2.5,2.5,2.5,176,8,S
8/1/15 14:45,2.5,2.5,17.83,2.5,2.5,2.5,171,9,S
8/1/15 14:50,2.5,2.5,17.48,2.5,2.5,2.5,155,9,SSE
8/1/15 14:55,2.5,2.5,16.38,2.5,2.5,2.5,151,11,SSE
8/1/15 15:00,2.5,2.5,15.32,2.5,2.5,2.5,152,10,SSE
8/1/15 15:05,2.5,2.5,15.28,2.5,2.5,2.5,151,9,SSE
8/1/15 15:10,2.5,2.5,15.39,2.5,2.5,2.5,159,8,SSE
