REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2016/1/1 0:30,6976.2,36.82,TRADE
NSW1,2016/1/1 1:00,6751.26,39.67,TRADE
NSW1,2016/1/1 1:30,6421.49,38.41,TRADE
NSW1,2016/1/1 2:00,6125.98,39.41,TRADE
NSW1,2016/1/1 2:30,5939.91,44.34,TRADE
NSW1,2016/1/1 3:00,5824.04,41.67,TRADE
NSW1,2016/1/1 3:30,5732.7,39.56,TRADE
NSW1,2016/1/1 4:00,5708.89,37.52,TRADE
NSW1,2016/1/1 4:30,5724.06,39.01,TRADE
NSW1,2016/1/1 5:00,5631.74,27.9,TRADE
NSW1,2016/1/1 5:30,5655.69,32.25,TRADE
NSW1,2016/1/1 6:00,5708.6,31.97,TRADE
NSW1,2016/1/1 6:30,5796.32,33.39,TRADE
NSW1,2016/1/1 7:00,5973.65,30.97,TRADE
NSW1,2016/1/1 7:30,6139.02,34.77,TRADE
NSW1,2016/1/1 8:00,6305.2,36.22,TRADE
NSW1,2016/1/1 8:30,6522.87,37,TRADE
NSW1,2016/1/1 9:00,6639.25,38.24,TRADE
NSW1,2016/1/1 9:30,6751.39,37.76,TRADE
NSW1,2016/1/1 10:00,6836.17,38.48,TRADE
NSW1,2016/1/1 10:30,6914.5,38.53,TRADE
NSW1,2016/1/1 11:00,6993.42,39.81,TRADE
NSW1,2016/1/1 11:30,7076.48,38.88,TRADE
NSW1,2016/1/1 12:00,7056.07,38.01,TRADE
NSW1,2016/1/1 12:30,7081.13,39.19,TRADE
NSW1,2016/1/1 13:00,7174.12,38.78,TRADE
NSW1,2016/1/1 13:30,7210.93,38.47,TRADE
NSW1,2016/1/1 14:00,7315.14,39.47,TRADE
NSW1,2016/1/1 14:30,7381.48,39.38,TRADE
NSW1,2016/1/1 15:00,7468.34,39.46,TRADE
NSW1,2016/1/1 15:30,7612.77,39,TRADE
NSW1,2016/1/1 16:00,7735.13,40.59,TRADE
NSW1,2016/1/1 16:30,7859.19,40.95,TRADE
NSW1,2016/1/1 17:00,7913.75,39.23,TRADE
NSW1,2016/1/1 17:30,7842.25,38.09,TRADE
NSW1,2016/1/1 18:00,7817.8,38.96,TRADE
NSW1,2016/1/1 18:30,7651.7,38,TRADE
NSW1,2016/1/1 19:00,7522.71,41.8,TRADE
NSW1,2016/1/1 19:30,7523.33,41.43,TRADE
NSW1,2016/1/1 20:00,7545.49,40.7,TRADE
NSW1,2016/1/1 20:30,7467.29,41.32,TRADE
NSW1,2016/1/1 21:00,7340.47,38.67,TRADE
NSW1,2016/1/1 21:30,7298.98,38.24,TRADE
NSW1,2016/1/1 22:00,7205.46,37.75,TRADE
NSW1,2016/1/1 22:30,7177.06,38.54,TRADE
NSW1,2016/1/1 23:00,7025.21,38.66,TRADE
NSW1,2016/1/1 23:30,6838.3,37.6,TRADE
NSW1,2016/1/2 0:00,6689.89,37.09,TRADE
NSW1,2016/1/2 0:30,6520.07,33.13,TRADE
NSW1,2016/1/2 1:00,6294.37,28.01,TRADE
NSW1,2016/1/2 1:30,6036.19,25.96,TRADE
NSW1,2016/1/2 2:00,5850.12,25.96,TRADE
NSW1,2016/1/2 2:30,5693.64,25.96,TRADE
NSW1,2016/1/2 3:00,5628.27,25.73,TRADE
NSW1,2016/1/2 3:30,5579.11,26.8,TRADE
NSW1,2016/1/2 4:00,5559.37,26.08,TRADE
NSW1,2016/1/2 4:30,5624.55,31.2,TRADE
NSW1,2016/1/2 5:00,5619.32,32.1,TRADE
NSW1,2016/1/2 5:30,5710.24,33.65,TRADE
NSW1,2016/1/2 6:00,5811.28,32.69,TRADE
NSW1,2016/1/2 6:30,6004.44,34.08,TRADE
NSW1,2016/1/2 7:00,6247.8,35.89,TRADE
NSW1,2016/1/2 7:30,6508.84,37.56,TRADE
NSW1,2016/1/2 8:00,6752.39,39.2,TRADE
NSW1,2016/1/2 8:30,7018.21,39.91,TRADE
NSW1,2016/1/2 9:00,7084.49,40.6,TRADE
NSW1,2016/1/2 9:30,7109.62,38.91,TRADE
NSW1,2016/1/2 10:00,7039.13,38.71,TRADE
NSW1,2016/1/2 10:30,7079.48,38.96,TRADE
NSW1,2016/1/2 11:00,7103.78,38.46,TRADE
NSW1,2016/1/2 11:30,7055.36,37.79,TRADE
NSW1,2016/1/2 12:00,7069.84,38.46,TRADE
NSW1,2016/1/2 12:30,7069.85,39.89,TRADE
NSW1,2016/1/2 13:00,7132.89,40.82,TRADE
NSW1,2016/1/2 13:30,7094.19,38.3,TRADE
NSW1,2016/1/2 14:00,7108.46,38.3,TRADE
NSW1,2016/1/2 14:30,7104.26,39.43,TRADE
NSW1,2016/1/2 15:00,7183.77,40.82,TRADE
NSW1,2016/1/2 15:30,7224.45,41.75,TRADE
NSW1,2016/1/2 16:00,7263.27,40.9,TRADE
NSW1,2016/1/2 16:30,7228.54,40.47,TRADE
NSW1,2016/1/2 17:00,7344.27,41.8,TRADE
NSW1,2016/1/2 17:30,7390.04,40.11,TRADE
NSW1,2016/1/2 18:00,7373.23,41.05,TRADE
NSW1,2016/1/2 18:30,7369.96,41.17,TRADE
