REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2016/1/1 0:30,1034.88,98.52,TRADE
TAS1,2016/1/1 1:00,1035.77,99.25,TRADE
TAS1,2016/1/1 1:30,998.99,96.9,TRADE
TAS1,2016/1/1 2:00,974.48,99.37,TRADE
TAS1,2016/1/1 2:30,995.02,100.34,TRADE
TAS1,2016/1/1 3:00,994.63,100.3,TRADE
TAS1,2016/1/1 3:30,987.3,100.26,TRADE
TAS1,2016/1/1 4:00,988.49,100.26,TRADE
TAS1,2016/1/1 4:30,999.51,103.47,TRADE
TAS1,2016/1/1 5:00,990.8,100.26,TRADE
TAS1,2016/1/1 5:30,983.77,100.26,TRADE
TAS1,2016/1/1 6:00,982.74,97.8,TRADE
TAS1,2016/1/1 6:30,982.01,87.78,TRADE
TAS1,2016/1/1 7:00,1001.31,85.28,TRADE
TAS1,2016/1/1 7:30,1025.5,125.06,TRADE
TAS1,2016/1/1 8:00,1043.29,143.78,TRADE
TAS1,2016/1/1 8:30,1071.68,134.16,TRADE
TAS1,2016/1/1 9:00,1067.41,131.01,TRADE
TAS1,2016/1/1 9:30,1065.3,161.3,TRADE
TAS1,2016/1/1 10:00,1070.59,95.55,TRADE
TAS1,2016/1/1 10:30,1067.71,107.78,TRADE
TAS1,2016/1/1 11:00,1057.11,126.88,TRADE
TAS1,2016/1/1 11:30,1042.01,114.48,TRADE
TAS1,2016/1/1 12:00,1001.26,85.28,TRADE
TAS1,2016/1/1 12:30,992.13,92.79,TRADE
TAS1,2016/1/1 13:00,983.33,91.96,TRADE
TAS1,2016/1/1 13:30,963.82,88.62,TRADE
TAS1,2016/1/1 14:00,988.84,95.28,TRADE
TAS1,2016/1/1 14:30,1003.19,97.77,TRADE
TAS1,2016/1/1 15:00,1016.07,100.26,TRADE
TAS1,2016/1/1 15:30,1024.84,100.26,TRADE
TAS1,2016/1/1 16:00,1021.18,100.26,TRADE
TAS1,2016/1/1 16:30,1028.18,100.26,TRADE
TAS1,2016/1/1 17:00,1056.84,100.26,TRADE
TAS1,2016/1/1 17:30,1053.97,100.26,TRADE
TAS1,2016/1/1 18:00,1041.8,100.26,TRADE
TAS1,2016/1/1 18:30,1043.08,100.26,TRADE
TAS1,2016/1/1 19:00,1039.97,100.26,TRADE
TAS1,2016/1/1 19:30,1057.29,100.27,TRADE
TAS1,2016/1/1 20:00,1073.91,100.27,TRADE
TAS1,2016/1/1 20:30,1090.75,100.26,TRADE
TAS1,2016/1/1 21:00,1079.97,100.26,TRADE
TAS1,2016/1/1 21:30,1066.48,92.77,TRADE
TAS1,2016/1/1 22:00,1031.97,86.95,TRADE
TAS1,2016/1/1 22:30,1012.34,85.28,TRADE
TAS1,2016/1/1 23:00,999.37,86.95,TRADE
TAS1,2016/1/1 23:30,992.17,90.29,TRADE
TAS1,2016/1/2 0:00,991.42,95.3,TRADE
TAS1,2016/1/2 0:30,983.82,90.29,TRADE
TAS1,2016/1/2 1:00,984.06,95.3,TRADE
TAS1,2016/1/2 1:30,968.15,93.63,TRADE
TAS1,2016/1/2 2:00,943.6,88.62,TRADE
TAS1,2016/1/2 2:30,937.16,91.96,TRADE
TAS1,2016/1/2 3:00,920.35,86.95,TRADE
TAS1,2016/1/2 3:30,895.71,85.28,TRADE
TAS1,2016/1/2 4:00,906.17,88.62,TRADE
TAS1,2016/1/2 4:30,946.47,102.07,TRADE
TAS1,2016/1/2 5:00,971.86,100.26,TRADE
TAS1,2016/1/2 5:30,983.15,85.28,TRADE
TAS1,2016/1/2 6:00,976.54,90.29,TRADE
TAS1,2016/1/2 6:30,991.57,95.3,TRADE
TAS1,2016/1/2 7:00,1015.73,100.26,TRADE
TAS1,2016/1/2 7:30,1037.99,100.26,TRADE
TAS1,2016/1/2 8:00,1067.58,97.76,TRADE
TAS1,2016/1/2 8:30,1093.68,100.26,TRADE
TAS1,2016/1/2 9:00,1096.45,100.26,TRADE
TAS1,2016/1/2 9:30,1099.79,100.26,TRADE
TAS1,2016/1/2 10:00,1095.46,100.26,TRADE
TAS1,2016/1/2 10:30,1081.46,100.26,TRADE
TAS1,2016/1/2 11:00,1074.09,100.26,TRADE
TAS1,2016/1/2 11:30,1065.54,100.26,TRADE
TAS1,2016/1/2 12:00,1053.19,100.26,TRADE
TAS1,2016/1/2 12:30,1043.21,88.62,TRADE
TAS1,2016/1/2 13:00,1038.14,93.61,TRADE
TAS1,2016/1/2 13:30,1020.05,85.28,TRADE
TAS1,2016/1/2 14:00,1001.5,85.28,TRADE
TAS1,2016/1/2 14:30,1012.72,95.3,TRADE
TAS1,2016/1/2 15:00,1027.72,91.96,TRADE
TAS1,2016/1/2 15:30,1044.99,88.62,TRADE
TAS1,2016/1/2 16:00,1063.25,95.3,TRADE
TAS1,2016/1/2 16:30,1094.48,91.96,TRADE
TAS1,2016/1/2 17:00,1127.27,100.26,TRADE
TAS1,2016/1/2 17:30,1147.72,100.26,TRADE
TAS1,2016/1/2 18:00,1150.22,100.26,TRADE
TAS1,2016/1/2 18:30,1140.34,99.44,TRADE
TAS1,2016/1/2 19:00,1147.89,130.04,TRADE
TAS1,2016/1/2 19:30,1151.36,130.04,TRADE
TAS1,2016/1/2 20:00,1151.89,130.04,TRADE
TAS1,2016/1/2 20:30,1141.92,130.04,TRADE
TAS1,2016/1/2 21:00,1117.56,118.45,TRADE
TAS1,2016/1/2 21:30,1095.72,95.28,TRADE
TAS1,2016/1/2 22:00,1065.09,95.28,TRADE
TAS1,2016/1/2 22:30,1042.43,95.27,TRADE
TAS1,2016/1/2 23:00,1016.99,95.26,TRADE
TAS1,2016/1/2 23:30,984.28,95.26,TRADE
TAS1,2016/1/3 0:00,971.84,96.1,TRADE
TAS1,2016/1/3 0:30,964.47,95.26,TRADE
TAS1,2016/1/3 1:00,941.39,95.26,TRADE
TAS1,2016/1/3 1:30,969.8,97.79,TRADE
TAS1,2016/1/3 2:00,975.53,96.12,TRADE
TAS1,2016/1/3 2:30,974.23,96.31,TRADE
TAS1,2016/1/3 3:00,962.18,97.89,TRADE
TAS1,2016/1/3 3:30,955.33,96.95,TRADE
TAS1,2016/1/3 4:00,955.98,95.26,TRADE
TAS1,2016/1/3 4:30,947.41,104.85,TRADE
TAS1,2016/1/3 5:00,937.13,95.26,TRADE
TAS1,2016/1/3 5:30,935.81,95.28,TRADE
TAS1,2016/1/3 6:00,948.46,95.26,TRADE
TAS1,2016/1/3 6:30,954.47,95.28,TRADE
TAS1,2016/1/3 7:00,965.87,95.27,TRADE
TAS1,2016/1/3 7:30,990.04,95.25,TRADE
TAS1,2016/1/3 8:00,991.06,95.25,TRADE
TAS1,2016/1/3 8:30,1001.17,95.26,TRADE
TAS1,2016/1/3 9:00,1008.82,95.26,TRADE
TAS1,2016/1/3 9:30,1011.69,95.26,TRADE
TAS1,2016/1/3 10:00,993.46,95.25,TRADE
TAS1,2016/1/3 10:30,988.92,95.26,TRADE
TAS1,2016/1/3 11:00,972.85,95.25,TRADE
TAS1,2016/1/3 11:30,973,95.25,TRADE
TAS1,2016/1/3 12:00,963.57,95.24,TRADE
TAS1,2016/1/3 12:30,951.47,95.24,TRADE
TAS1,2016/1/3 13:00,942.37,94.67,TRADE
TAS1,2016/1/3 13:30,934.56,95.25,TRADE
TAS1,2016/1/3 14:00,929.19,95.28,TRADE
TAS1,2016/1/3 14:30,942.23,96.12,TRADE
TAS1,2016/1/3 15:00,957.39,102.78,TRADE
TAS1,2016/1/3 15:30,978.8,101.95,TRADE
TAS1,2016/1/3 16:00,1009.98,95.27,TRADE
TAS1,2016/1/3 16:30,1045.49,95.26,TRADE
TAS1,2016/1/3 17:00,1067.07,95.28,TRADE
TAS1,2016/1/3 17:30,1073.18,97.79,TRADE
TAS1,2016/1/3 18:00,1073.28,98.63,TRADE
TAS1,2016/1/3 18:30,1085.09,115.28,TRADE
TAS1,2016/1/3 19:00,1096.98,130.26,TRADE
TAS1,2016/1/3 19:30,1094.93,130.26,TRADE
TAS1,2016/1/3 20:00,1098.28,130.26,TRADE
TAS1,2016/1/3 20:30,1120.03,141.91,TRADE
TAS1,2016/1/3 21:00,1107.81,130.29,TRADE
TAS1,2016/1/3 21:30,1099.84,102.76,TRADE
TAS1,2016/1/3 22:00,1064.13,96.12,TRADE
TAS1,2016/1/3 22:30,1038.4,95.28,TRADE
TAS1,2016/1/3 23:00,1016.3,95.28,TRADE
TAS1,2016/1/3 23:30,990.76,95.26,TRADE
TAS1,2016/1/4 0:00,974.32,95.25,TRADE
TAS1,2016/1/4 0:30,956.55,95.28,TRADE
TAS1,2016/1/4 1:00,951.56,95.27,TRADE
TAS1,2016/1/4 1:30,944.32,95.26,TRADE
TAS1,2016/1/4 2:00,940.95,95.24,TRADE
TAS1,2016/1/4 2:30,940.54,98.63,TRADE
TAS1,2016/1/4 3:00,927.84,97.79,TRADE
TAS1,2016/1/4 3:30,933.91,96.95,TRADE
TAS1,2016/1/4 4:00,936.09,98.63,TRADE
TAS1,2016/1/4 4:30,958.38,105.36,TRADE
TAS1,2016/1/4 5:00,966.02,105.36,TRADE
TAS1,2016/1/4 5:30,989.6,127.08,TRADE
TAS1,2016/1/4 6:00,1032.51,104.67,TRADE
TAS1,2016/1/4 6:30,1062.11,91.09,TRADE
TAS1,2016/1/4 7:00,1071.75,91.97,TRADE
TAS1,2016/1/4 7:30,1076.65,96.92,TRADE
TAS1,2016/1/4 8:00,1086.28,108.81,TRADE
TAS1,2016/1/4 8:30,1083.15,107.08,TRADE
TAS1,2016/1/4 9:00,1077.65,107.08,TRADE
TAS1,2016/1/4 9:30,1074.71,131.07,TRADE
TAS1,2016/1/4 10:00,1070.58,112.11,TRADE
TAS1,2016/1/4 10:30,1062.51,100.58,TRADE
TAS1,2016/1/4 11:00,1055.68,102.24,TRADE
TAS1,2016/1/4 11:30,1051.67,100.58,TRADE
TAS1,2016/1/4 12:00,1048.34,100.58,TRADE
TAS1,2016/1/4 12:30,1029.23,93.88,TRADE
TAS1,2016/1/4 13:00,1021.78,90.79,TRADE
TAS1,2016/1/4 13:30,1031.58,96.18,TRADE
TAS1,2016/1/4 14:00,1034.24,96.87,TRADE
TAS1,2016/1/4 14:30,1028.89,96.42,TRADE
TAS1,2016/1/4 15:00,1040.51,96.87,TRADE
TAS1,2016/1/4 15:30,1059.63,100.58,TRADE
TAS1,2016/1/4 16:00,1061.84,100.58,TRADE
TAS1,2016/1/4 16:30,1079.05,102.24,TRADE
TAS1,2016/1/4 17:00,1098.14,101.9,TRADE
TAS1,2016/1/4 17:30,1109.18,122.91,TRADE
TAS1,2016/1/4 18:00,1106.75,100.58,TRADE
TAS1,2016/1/4 18:30,1110.92,100.58,TRADE
TAS1,2016/1/4 19:00,1113.55,102.24,TRADE
TAS1,2016/1/4 19:30,1122.89,100.79,TRADE
TAS1,2016/1/4 20:00,1129.8,112.1,TRADE
TAS1,2016/1/4 20:30,1134.75,100.58,TRADE
TAS1,2016/1/4 21:00,1125,100.58,TRADE
TAS1,2016/1/4 21:30,1102.92,101.61,TRADE
TAS1,2016/1/4 22:00,1064.8,90.3,TRADE
TAS1,2016/1/4 22:30,1048.13,96.91,TRADE
TAS1,2016/1/4 23:00,1033.11,98.58,TRADE
TAS1,2016/1/4 23:30,1011.69,96.86,TRADE
TAS1,2016/1/5 0:00,1001.41,106.34,TRADE
TAS1,2016/1/5 0:30,989.71,100.58,TRADE
TAS1,2016/1/5 1:00,980.6,103.9,TRADE
TAS1,2016/1/5 1:30,964,100.58,TRADE
TAS1,2016/1/5 2:00,947.57,90.79,TRADE
TAS1,2016/1/5 2:30,938.66,90.5,TRADE
TAS1,2016/1/5 3:00,945.35,90.4,TRADE
TAS1,2016/1/5 3:30,941.24,90.29,TRADE
TAS1,2016/1/5 4:00,942.86,90.3,TRADE
TAS1,2016/1/5 4:30,951.65,95.58,TRADE
TAS1,2016/1/5 5:00,965.55,95.58,TRADE
TAS1,2016/1/5 5:30,1005.28,95.58,TRADE
TAS1,2016/1/5 6:00,1028.49,111.33,TRADE
TAS1,2016/1/5 6:30,1052.37,93.08,TRADE
TAS1,2016/1/5 7:00,1081.1,95.58,TRADE
TAS1,2016/1/5 7:30,1088.31,95.58,TRADE
TAS1,2016/1/5 8:00,1082.12,95.53,TRADE
TAS1,2016/1/5 8:30,1084.16,96.37,TRADE
TAS1,2016/1/5 9:00,1086.97,114.07,TRADE
TAS1,2016/1/5 9:30,1061.77,95.43,TRADE
TAS1,2016/1/5 10:00,1045.78,110.6,TRADE
TAS1,2016/1/5 10:30,1037.94,102.39,TRADE
TAS1,2016/1/5 11:00,1044.29,163.54,TRADE
TAS1,2016/1/5 11:30,1038.58,95.58,TRADE
TAS1,2016/1/5 12:00,1018.57,95.58,TRADE
TAS1,2016/1/5 12:30,1009.66,98.98,TRADE
TAS1,2016/1/5 13:00,1005.57,112.04,TRADE
TAS1,2016/1/5 13:30,991.22,95.58,TRADE
TAS1,2016/1/5 14:00,995.24,95.58,TRADE
TAS1,2016/1/5 14:30,1002.26,95.58,TRADE
TAS1,2016/1/5 15:00,1003.49,95.47,TRADE
TAS1,2016/1/5 15:30,1012.11,95.58,TRADE
TAS1,2016/1/5 16:00,1035.97,95.68,TRADE
TAS1,2016/1/5 16:30,1048.1,95.58,TRADE
TAS1,2016/1/5 17:00,1048.44,93.69,TRADE
TAS1,2016/1/5 17:30,1052.62,94.8,TRADE
TAS1,2016/1/5 18:00,1063.71,95.58,TRADE
TAS1,2016/1/5 18:30,1070.1,95.58,TRADE
TAS1,2016/1/5 19:00,1093.35,103.65,TRADE
TAS1,2016/1/5 19:30,1082.63,93.62,TRADE
TAS1,2016/1/5 20:00,1090.91,95.43,TRADE
TAS1,2016/1/5 20:30,1115.63,95.58,TRADE
TAS1,2016/1/5 21:00,1105.45,95.43,TRADE
TAS1,2016/1/5 21:30,1087.59,95.63,TRADE
TAS1,2016/1/5 22:00,1064.23,95.58,TRADE
TAS1,2016/1/5 22:30,1044.56,95.33,TRADE
TAS1,2016/1/5 23:00,1025.14,95.28,TRADE
TAS1,2016/1/5 23:30,1007.63,95.27,TRADE
TAS1,2016/1/6 0:00,988.4,95.38,TRADE
TAS1,2016/1/6 0:30,983.21,95.28,TRADE
TAS1,2016/1/6 1:00,975.43,95.27,TRADE
TAS1,2016/1/6 1:30,972.65,95.26,TRADE
TAS1,2016/1/6 2:00,972.58,94.44,TRADE
TAS1,2016/1/6 2:30,969.28,95.27,TRADE
TAS1,2016/1/6 3:00,965.44,95.32,TRADE
TAS1,2016/1/6 3:30,968.75,95.58,TRADE
TAS1,2016/1/6 4:00,972.76,95.58,TRADE
TAS1,2016/1/6 4:30,987.52,95.58,TRADE
TAS1,2016/1/6 5:00,1003.58,95.63,TRADE
TAS1,2016/1/6 5:30,1041.34,95.53,TRADE
TAS1,2016/1/6 6:00,1071.57,94.6,TRADE
TAS1,2016/1/6 6:30,1107.01,95.58,TRADE
TAS1,2016/1/6 7:00,1129.5,96.49,TRADE
TAS1,2016/1/6 7:30,1122.62,96.59,TRADE
TAS1,2016/1/6 8:00,1113.62,95.79,TRADE
TAS1,2016/1/6 8:30,1112.63,95.58,TRADE
TAS1,2016/1/6 9:00,1100.3,109.09,TRADE
TAS1,2016/1/6 9:30,1071.54,95.53,TRADE
TAS1,2016/1/6 10:00,1074.06,95.63,TRADE
TAS1,2016/1/6 10:30,1044.74,102.65,TRADE
TAS1,2016/1/6 11:00,1036.05,95.63,TRADE
TAS1,2016/1/6 11:30,1035.42,95.58,TRADE
TAS1,2016/1/6 12:00,1033.27,95.58,TRADE
TAS1,2016/1/6 12:30,1005.01,103.34,TRADE
TAS1,2016/1/6 13:00,996.34,91.47,TRADE
TAS1,2016/1/6 13:30,974.66,90.59,TRADE
TAS1,2016/1/6 14:00,968.52,95.58,TRADE
TAS1,2016/1/6 14:30,981.11,95.58,TRADE
TAS1,2016/1/6 15:00,972.22,95.58,TRADE
TAS1,2016/1/6 15:30,992.05,95.82,TRADE
TAS1,2016/1/6 16:00,1030.73,108.86,TRADE
TAS1,2016/1/6 16:30,1041.26,95.58,TRADE
TAS1,2016/1/6 17:00,1070.38,122.43,TRADE
TAS1,2016/1/6 17:30,1096.56,128.63,TRADE
TAS1,2016/1/6 18:00,1088.31,92.35,TRADE
TAS1,2016/1/6 18:30,1086.19,95.58,TRADE
TAS1,2016/1/6 19:00,1089.91,115.47,TRADE
TAS1,2016/1/6 19:30,1087.05,104.54,TRADE
TAS1,2016/1/6 20:00,1102.33,123.5,TRADE
TAS1,2016/1/6 20:30,1103.3,95.58,TRADE
TAS1,2016/1/6 21:00,1075.47,95.58,TRADE
TAS1,2016/1/6 21:30,1050.11,96.44,TRADE
TAS1,2016/1/6 22:00,1029.23,95.58,TRADE
TAS1,2016/1/6 22:30,1022.53,95.63,TRADE
TAS1,2016/1/6 23:00,1010.19,95.53,TRADE
TAS1,2016/1/6 23:30,1000.55,95.33,TRADE
TAS1,2016/1/7 0:00,992.89,95.28,TRADE
TAS1,2016/1/7 0:30,980.9,95.63,TRADE
TAS1,2016/1/7 1:00,979.5,95.58,TRADE
TAS1,2016/1/7 1:30,979.52,95.73,TRADE
TAS1,2016/1/7 2:00,979.78,95.84,TRADE
TAS1,2016/1/7 2:30,976.76,95.68,TRADE
TAS1,2016/1/7 3:00,951.05,95.58,TRADE
TAS1,2016/1/7 3:30,935.86,95.43,TRADE
TAS1,2016/1/7 4:00,946.47,95.58,TRADE
TAS1,2016/1/7 4:30,982.97,95.73,TRADE
TAS1,2016/1/7 5:00,1000.57,95.58,TRADE
TAS1,2016/1/7 5:30,1015.33,95.58,TRADE
TAS1,2016/1/7 6:00,1044.34,93.61,TRADE
TAS1,2016/1/7 6:30,1071.5,95.37,TRADE
TAS1,2016/1/7 7:00,1110.14,95.58,TRADE
TAS1,2016/1/7 7:30,1099.99,95.53,TRADE
TAS1,2016/1/7 8:00,1087.53,95.38,TRADE
TAS1,2016/1/7 8:30,1081.9,95.33,TRADE
TAS1,2016/1/7 9:00,1065.04,95.58,TRADE
TAS1,2016/1/7 9:30,1039.43,95.58,TRADE
TAS1,2016/1/7 10:00,1014.92,95.32,TRADE
